,Symbol,Volume
1241,FSZ,4700
1242,FTA,38000
1243,FTAC,362200
1244,FTACU,13500
1245,FTACW,454600
1246,FTAG,37400
1247,FTC,29100
1248,FTCS,404500
1249,FTDR,622500
1250,FTEK,63000
1251,FTFT,147600
1252,FTGC,96800
1253,FTHI,7800
1254,FTHM,133000
1255,FTLB,500
1256,FTNT,4196500
1257,FTRI,200
1258,FTSL,186900
1259,FTSM,1020200
1260,FTXH,2000
1261,FTXL,7000
1262,FTXN,1200
1263,FTXO,22300
1264,FTXR,700
1265,FULC,16200
1266,FULT,799000
1267,FUNC,7000
1268,FUND,49000
1269,FUSB,1200
1270,FUSN,56000
1271,FUTU,1513900
1272,FUV,594900
1273,FV,531000
1274,FVC,9300
1275,FVCB,8400
1276,FVE,39700
1277,FWONA,108900
1278,FWONK,690800
1279,FWP,69300
1280,FWRD,164300
1281,FXNC,4800
1282,FYC,31800
1283,FYT,13300
1284,FYX,30600
1285,GABC,47600
1286,GAIA,154800
1287,GAIN,115500
1288,GAINL,5300
1289,GAINM,2000
1290,GALT,89200
1291,GAN,696300
1292,GARS,18200
1293,GASS,16200
1294,GBCI,358900
1295,GBDC,465200
1296,GBIO,38700
1297,GBLI,15400
1298,GBLIL,6500
1299,GBLIZ,2000
1300,GBT,855000
1301,GCBC,1900
1302,GDEN,531600
1303,GDS,1497500
1304,GDYN,210100
1305,GDYNW,6400
1306,GEC,2500
1307,GECC,128500
1308,GECCL,900
1309,GECCM,3200
1310,GECCN,800
1311,GENC,15800
1312,GENE,3347500
1313,GENY,6400
1314,GEOS,70600
1315,GERN,2977600
1316,GEVO,2732700
1317,GFN,7200
1318,GFNCP,300
1319,GFNSL,1500
1320,GGAL,968200
1321,GH,2397400
1322,GHIV,273900
1323,GHIVU,145600
1324,GHIVW,14800
1325,GHSI,2455700
1326,GIFI,13200
1327,GIGE,8700
1328,GIGM,12200
1329,GIII,1314700
1330,GILD,8068900
1331,GILT,199600
1332,GLAD,157000
1333,GLADD,1500
1334,GLADL,2500
1335,GLBS,8062700
1336,GLBZ,4500
1337,GLDD,343900
1338,GLDI,53400
1339,GLG,287600
1340,GLIBA,2218900
1341,GLIBP,17000
1342,GLMD,53400
1343,GLNG,649000
1344,GLPG,140500
1345,GLPI,962800
1346,GLRE,199700
1347,GLUU,6289300
1348,GLYC,518100
1349,GMAB,315200
1350,GMBL,149500
1351,GMBLW,16200
1352,GMDA,189700
1353,GMHI,168100
1354,GMHIW,66800
1355,GMLP,79100
1356,GMLPP,14800
